ACCURA    Accuracy
ATUTOR3   Press the ~h~~k~~TOGGLE_SUBMISSIONS~ button~w~ to toggle Paramedic missions on or off.
AUG       Aug
AVERY     AVERY MISSIONS
A_PORT    Escobar International
A_TIME    +~1~ seconds
BAGGAGE   Baggage Handler
BANK      BANKJOB MISSIONS
BANK1     BANKJOB MISSION 1
BANK2     BANKJOB MISSION 2
BANK3     BANKJOB MISSION 3
BANKBUY   The Malibu purchased: $~1~
BANKINT   El Banco Corrupto Grande
BANK_1    No Escape?
BANK_2    The Shootist
BANK_3    The Driver
BANK_4    The Job
BANK_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase The Malibu for $~1~
BANK_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase The Malibu for $~1~
BANK_NO   You cannot buy The Malibu at this time, come back later.
BANK_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase The Malibu for $~1~
BANSHEE   Banshee
BARRCKS   Barracks OL
BASEBAT   Baseball bat
BEACH1    Ocean Beach
BEACH2    Washington Beach
BEACH3    Vice Point
BENSON    Benson
BFINJC    BF Injection
BIKE      THE BIKER GANG MISSIONS
BIKE1     BIKER MISSION 1
BIKE2     BIKER MISSION 2
BIKE3     BIKER MISSION 3
BIKE_1    Alloy Wheels of Steel
BIKE_2    Messing with the Man
BIKE_3    Hog Tied
BJM2_21   ~g~Hit as many targets as you can while your ammo lasts.
BJM3_1    ~g~Get a fast car and get to the starting grid.
BK4_40A   I'll give him abandonment issues!
BLISTAC   Blista Compact
BLODRNG   BLOODRING
BLOODRA   Bloodring Banger
BLOODRB   Bloodring Banger
BMXFAIL   ~r~You failed to set a new record!
BMXRAIN   ~g~Looks like rain...
BMXREW1   ~g~Each time you beat your previous record for the two laps
BMXREW2   ~g~a larger ~y~REWARD ~g~will be awarded!
BMX_1     'Trial by Dirt'
BMX_2     'Test Track'
BMX_HOW   ~g~Do two laps of the dirt track, ~y~passing through ~g~the ~y~CHECKPOINTS ~g~as you go!
BMX_REC   ~g~New Record Set:~1~ !!
BNK1_1    Can I help you, sir?
BNK1_2    There's an imposter!
BNK1_3    He's gone insane!
BNK1_4    Who the hell are you?
BNK1_5    Where's your badge?
BNK1_6    There they are! Shoot to kill!
BNK2_6    This guy's a lunatic!
BNK3_2    I'm not driving for you, no way, I'm sharing this at group.
BNK450A   What'd I tell you Tommy? What'd I tell you? Bent SWAT better watch out when Kent Paul is in town.
BNK450B   Come on, gimme a bigger slice, mate, c'mon. I gotta get some new threads.
#UpdatedSCM only
BNK450C   New threads? Huh. You need more than that, pal!
BNK4_26   Hot damn! Here they come!
BNK4_2A   Boys at the car lot did a great job on this baby.
BNK4_32   Use explosives to open the deposit boxes!
BNK4_36   Where's Cam?
BNK4_37   History...
BNK4_38   That's the last of them. GO! GO! GO!
BNK4_3G   Oh crap, now the cops are onto us!
BNK4_3H   - and we're not even there yet.
BNK4_3K   We'll have to lose the cops first...
BNK4_3L   Christ Tommy, you trying to kill us all!?
BNK4_3N   Everything I care about gets trashed!
BNK4_42   Hey guys! Get in! I got you covered!
BNK4_43   I've got our asses covered, DRIVE!
BNK4_44   We made it! We're rich! RICH!
BNK4_45   Shame Cam didn't make it, he was a good guy!
BNK4_46   Yeah. Still... more for us!
BNK4_47   Damned straight! YEEEEHAAAH!
BNK4_48   Tommy, would you like a massage?
BNK4_49   Well, Hi there, Mercedes! Yeah, I'm a little tense...
BNK4_51   You look fine to me.
BNK_39    Shit! Where's Hilary?
BOATBUY   Boatyard purchased: $~1~
BOATYAR   The Boatyard
BOAT_A2   BOATYARD ASSET COMPLETED
BOAT_AS   ~g~The Boatyard will now generate revenue up to a maximum of $~1~. Make sure you collect it regularly.
BOAT_C    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Boatyard for $~1~
BOAT_L    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Boatyard for $~1~
BOAT_N    Checkpoint Charlie
BOAT_NO   You cannot buy the Boatyard at this time, come back later.
BOAT_P    ~g~collect the packages before the time runs out.
BOAT_T    Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Boatyard for $~1~
BOA_EXP   Boats destroyed
BOBCAT    Bobcat
BOLLOX    Press the ~h~~k~~VEHICLE_HANDBRAKE~ ~w~button to drop a bomb. Press the ~h~~k~~VEHICLE_ENTER_EXIT~ ~w~button to cancel.
BONUS     ~g~BONUS $~1~
BOXVILL   Boxville
BRIBE1    You have just picked up a police bribe, this will reduce your wanted level by one star.
BRID_CL   Storm warning: All bridges to the mainland are closed.
BRID_OP   Storm warning over, all bridges to the mainland are now open.
BSTSTU    Best INSANE stunt so far
BUD_1     Shakedown
BUD_2     Bar Brawl
BUD_3     Cop Land
BUL_FIR   Bullets fired
BUL_HIT   Bullets that hit
BURRITO   Burrito
BUS       Bus
BUSTED    BUSTED!
BUYGARG   ~g~You can also store vehicles in this garage.
BUYGARS   ~g~You can also store vehicles in these garages.
BUYSAVE   ~g~You can now save your game here when not on a mission.
CABBIE    Cabbie
CADDY     Caddy
#UpdatedSCM only
CAN_CON   Use ~h~~k~~TOGGLE_SUBMISSIONS~ ~w~again to cancel the mission.
CAP_1     Cap the Collector
CARBUY    Car Showroom purchased: $~1~
CARSOFF   Cars turned off.
CARS_ON   Cars turned on.
CAR_1     Ambulance
CAR_AS1   CAR SHOWROOM ASSET COMPLETED
CAR_AS2   ~g~Sunshine Auto's will now generate revenue up to a maximum of $~1~. Make sure you collect it regularly.
CAR_C     Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Car Showroom for $~1~
CAR_EXP   Road Vehicles destroyed
CAR_L     Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Car Showroom for $~1~
CAR_NO    You cannot buy the Car Showroom at this time, come back later.
CAR_T     Press the ~h~~k~~PED_ANSWER_PHONE~ ~w~button to purchase the Car Showroom for $~1~
CDERROR   Error reading the Grand Theft Auto: Vice City DVD
CHAINSA   Chainsaw
CHASE     Highest media attention
CHASE1    Ignored
CHASE10   Local TV Live coverage
CHASE11   UFA Today page 12
CHASE12   UFA Today page 4
CHASE13   Picture in UFA Today
CHASE14   National TV 4am
CHASE15   National TV news
CHASE16   National TV live coverage
CHASE17   International news
CHASE18   National crisis
CHASE19   International crisis
CHASE2    Boring
CHASE20   World event
CHASE21   Stuff of legends
CHASE3    Vaguely interesting
CHASE4    Local paper Page 7
CHASE5    Front page of local paper
CHASE6    Vice Courier Page 2
CHASE7    Vice Courier Front page
CHASE8    Local TV 3am
CHASE9    Local TV news
CHEAT1    Cheat activated
CHEAT2    Weapon cheat
CHEAT3    Health cheat
CHEAT4    Armor cheat
CHEAT5    Wanted level cheat
CHEAT6    Money cheat
CHEAT7    Weather cheat
CHEATOF   Cheat mode OFF
CHEATON   Cheat mode ON
CHEETAH   Cheetah
CHERRYP   Cherry Popper Icecreams
CHSE      CHASE
CINCAM    Cinematic Camera
CLEVER    Meat Cleaver
CLOHELP   Clean Clothes!!
CLOTH1    Soiree outfit delivered to Rafael's on Ocean Beach.
#UpdatedSCM edited
CLOTH10   Bank Robber outfit delivered to Malibu Club in Vice Point.
#UpdatedSCM only
CLOTH11   MC Tommy outfit delivered to Howlin' Petes Biker Emporium in Downtown.
#UpdatedSCM only
CLOTH12   Red Tracksuit outfit delivered to Brownstone Laundromat in Little Havana.
CLOTH2    Street outfit delivered to Safehouses.
CLOTH3    Coveralls outfit delivered to Tooled Up in The North Point Mall.
CLOTH4    Country Club outfit delivered to The Golf Club in Leaf Links.
#UpdatedSCM edited
CLOTH5    Cuban Dress outfit delivered to Little Havana Streetwear in Little Havana.
CLOTH6    Cop outfit delivered to Police Station on Washington Beach.
CLOTH7    Casual outfit delivered to Gash in The North Point Mall.
#UpdatedSCM edited
CLOTH8    Mr. Vercetti outfit delivered to Collar & Cuffs on Ocean Beach.
#UpdatedSCM edited
CLOTH9    Black Tracksuit outfit delivered to Jocksport in Downtown.
CLT_HL2   When a Clothes Pickup is collected, a one star or two star wanted level will be cleared.
CNT2_1    Kill him.
CNT2_2    Get the Plates!
CNT2_3    Protect the courier!
CNTBUY1   Printworks purchased: $~1~
CNT_1     Spilling the Beans
CNT_2     Hit the Courier
COACH     Coach
COASTG    Coast Guard
COASTMA   Coastguard Maverick
COK1_3    Hope you fall and break your neck!
COK1_6    I'm sick of these pricks.
COK2_10   You sure is better at shooting than talking.
COK2_11   Thanks. You're a real charmer yourself.
COK2_12   I Know, Tommy.
COK2_18   You cool with Kenny Loggins
COK2_19   Hell, I love this record
#UpdatedSCM edited
COK2_26   ~r~Lance died!
COK2_7    See those marker boys? Try taking out the lights!
COK3_1    Don't shoot, dude!
COK3_2    What's in this stuff?
COK3_3    He's taking the boat. Bummer.
COK3_4    Help! Some square's stealing the boat, man!
COK4_10   They're matchwood! And fish food.
COK4_11   We made it! Those other boats ain't VIP class.
COK4_17   They're getting desperate!
COK4_18   My damn feet are wet! WE'RE TAKING ON WATER!
COK4_2    Yeah.
COK4_21   Bridge coming up!
COK4_22   Bail out, she's about to blow!
COK4_23   Good shooting.
#UpdatedSCM edited
COK4_29   ~r~Lance died!
COK4_6    Do you know where we're going?
COK4_7    Are we lost?
COK4_8    We got some competition!
COK4_9    Take 'em out!
COK4_9A   It's time for the Lance Vance Dance!
COK4_W    Uugghh! That's the last of them.
COK4_X    I'm going to start her up.
COK4_Y    I think we've got some new friends.
COKE      THE COKE BARON MISSIONS
COK_1     The Chase
COK_2     Phnom Penh '86
COK_3     The Fastest Boat
COK_4     Supply & Demand
COL2_6    Freeze, imperialist American pig!
COL2_6B   Zat iz propertay of ze government Francais.
COL2_6C   'And eet over!
COL2_9    You American idiot! They followed you here!
COL3_A    Thomas I appreciate you coming
COL3_B    Forgive me for getting straight to business,
COL3_C    Diaz has asked me to oversee a minor business transaction.
COL3_D    Let's hope it goes better than last time.
COL3_E    Which is why I thought of you, my friend.
COL3_F    I've dropped some protection at the multistory carpark.
COL3_G    Pick it up then go and watch over Diaz's men at the drop off.
COL4_10   Lets go eat some doughnuts.
COL4_16   Sir! Moving vehicle Sir!
COL4_2    Don't know Sir!
COL4_25   Vehicle self destruct initiated!
COL4_5    Sir, Yes Sir!
COL5_17   Oh my god they've got a helicopter!
COL5_18   Shoot the helicopter!
COL5_19   Tommy, take that chopper out!
COL5_20   He's coming again! Blow that chopper!
COL5_21   Look at the size of that chopper!
COL5_22   Here he comes again!
COL5_5    Die French peegs!
COL5_6    Mercedes, that girl will be the death of me.
COL5_8    Damn cockroach!
COL_1     Treacherous Swine
COL_2     Mall Shootout
COL_3     Guardian Angels
COL_4     Sir, Yes Sir!
COL_5     All Hands On Deck!
COMET     Comet
COM_ZON   Vice City Mainland
COP_M     'VIGILANTE'
COP_M2    'VICE SQUAD'
COP_M3    'BROWN THUNDER'
COUNT     COUNTERFEITING MISSIONS
COUNT1    COUNTERFEITING MISSION 1
COUNT2    COUNTERFEITING MISSION 2
CO_ALL    You got all of them. Here's a little something...
CO_ONE    Hidden Package ~1~ of ~1~
CRD001A   STUDIO DIRECTOR
CRD001B   ANDREW SEMPLE
CRD002A   DEVELOPMENT DIRECTOR
CRD013A   IMRAN SARWAR
CRD013B   JAMES WORRALL
CRD013C   JOHN HAIME
CRD018A   CHARACTER DESIGNER
CRD019A   TOKS SOLARIN
CRD019B   ALAN DAVIDSON
CRD022A   ANIMATORS
CRD022B   DUNCAN SHIELDS
CRD022C   GUS BRAID
CRD023A   JOLYON ORME
CRD023B   ALAN DUNCAN
CRD024A   LEAD VEHICLE DESIGNER
CRD031A   STEVEN MULHOLLAND
CRD031B   WAYLAND STANDING
CRD031C   CAMPBELL J. DICK
CRD031D   GRAPHIC DESIGNER
CRD031E   STUART PETRI
CRD032A   PROGRAMMERS
CRD037A   ALAN CAMPBELL
CRD037B   MARK HANLON
CRD037C   ANDRZEJ MADAJCZYK
CRD041A   AUDIO ENGINEER
CRD041B   AUDIO
CRD042A   WILL MORTON
CRD056A   GEORGE WILLIAMSON
CRD056B   MATT JONES
CRD056C   ROB HARBOUR
CRD056D   TOM WHITTAKER
CRD057A   TECHNICAL SUPPORT
CRD060A   OFFICE SUPPORT
CRD060B   KIM GURNEY
CRD060C   CASSIE OLIVER
CRD071A   DIRECTOR OF QUALITY ASSURANCE
CRD072A   JEFF ROSA
CRD084A   DANIEL EINZIG
CRD084B   JACEN BURROWS
CRD084C   LINN PR
CRD084D   COVER ART
CRD084E   STEPHEN BLISS
CRD086A   PRODUCED BY ADAM TEDMAN
CRD088A   ADAM TEDMAN
CRD088B   DAVID YU
CRD088C   JERRY LUNA
CRD088D   STUART PETRI
CRD088E   MICHAEL CARNEVALE
CRD088F   GREG LAU
CRD088G   FUTABA HAYASHI
CRD092A   JOE HOWELL
CRD092B   MARC FERNANDEZ
CRD098A   ELIZABETH SATTERWHITE
CRD098B   JAMEEL VEGA
CRD098C   MIKE HONG
CRD110A   TALENT PROCUREMENT: JAMIE KING, SEAN MACALUSO
CRD111A   SUPPORTING CHARACTERS
CRD134A   CAM JONES - GREG SIMS
CRD134B   PSYCHO - HUNTER PLATIN
CRD134C   MAUDE THE ICE CREAM LADY - JANE GENNARO
CRD134D   JETHRO - JOHN ZURHELLEN
CRD134E   GONZALES - JORGE PUPO
CRD134F   DWAYNE - NAVID KHONSARI
CRD134G   DICK - PETER MCKAY
CRD134H   MIKE THE GOON & PORN GUY - ROBERT CIHRA
CRD134I   PERCY - RUSSELL FOREMAN
CRD136A   TECHNICAL DIRECTION BY ALEX HORTON
CRD137A   DIRECTED BY NAVID KHONSARI
CRD138A   PRODUCED BY JAMIE KING
CRD138B   RENAUD SEBBANE
CRD140A   BLAYNE PERRY
CRD140B   JONATHON SALE
CRD140C   CHARLES TUCKER
CRD140D   EDDIE MARRERO
CRD140E   WILLIAM MCCALL
CRD140F   JORGE PUPO
CRD140G   ROBERT JACKSON
CRD140H   TARA RADCLIFFE
CRD140I   JENIFER GAMBETESE
CRD140J   KRIS ACHEVARRIA
CRD140K   ALI ORDOUBADI
CRD140L   KAHLEEM POOLE
CRD141A   WRITTEN BY DAN HOUSER, MARC FERNANDEZ, GILLIAN TELLING AND NAVID KHONSARI
CRD141B   WITH HELP FROM JEREMY POPE, LANCE WILLIAMS, AND JENNY JEMISON
CRD142A   DAN HOUSER AND JAMES WORRALL
CRD218A   HEINZ HENN
CRD218B   STUART ROSS
CRD229A   TONI-MARIA CHAMBERS
CRD229B   IMAGING VOICE AND PRODUCTION-JEFF BERLIN
CRD251A   THE POND
CRD252A   PIVO
CRD344A   AUDIO RECORDED AT DIGITAL ARTS STUDIOS,
CRD345A   SYNC SOUND, NYC AND RADIO LAZLOW, LONG ISLAND.
CREAM     Distribution
CRED001   ROCKSTAR NORTH
CRED002   PRODUCER
CRED003   LESLIE BENZIES
CRED004   ART DIRECTOR
CRED005   AARON GARBUT
CRED006   TECHNICAL DIRECTORS
CRED007   OBBE VERMEIJ
CRED008   ADAM FOWLER
CRED009   MISSION DESIGN
CRED010   ANDREW DUTHIE
CRED011   CRAIG FILSHIE
CRED012   WILLIAM MILLS
CRED013   CHRIS ROTHWELL
CRED014   WRITTEN BY
CRED015   JAMES WORRALL
CRED016   PAUL KUROWSKI
CRED017   DAN HOUSER
CRED018   LEAD CHARACTER DESIGNER
CRED019   IAN MCQUE
CRED020   LEAD ANIMATOR
CRED021   ALEX HORTON
CRED022   LEE MONTGOMERY
CRED023   VEHICLE DESIGNERS
CRED024   PAUL KUROWSKI
CRED025   MAP DESIGNERS
CRED026   ADAM COCHRANE
CRED027   NIK TAYLOR
CRED028   GARY MCADAM
CRED029   KEIRAN BAILLIE
CRED030   ALISDAIR WOOD
CRED031   ANDREW SOOSAY
CRED032   LEAD PROGRAMMER
CRED033   ALEXANDER ROGER
CRED034   GRAEME WILLIAMSON
CRED035   BARANE CHAN
CRED036   DEREK PAYNE
CRED037   GORDON YEOMAN
CRED038   LEAD MUSIC PRODUCER
CRED039   CRAIG CONNER
CRED040   STUART ROSS
CRED041   LEAD AUDIO ENGINEER
CRED042   ALLAN WALKER
CRED043   AUDIO PROGRAMMER
CRED044   RAYMOND USHER
CRED045   TEST MANAGER
CRED046   CRAIG ARBUTHNOTT
CRED047   LEAD QA
CRED048   NEIL CORBETT
CRED049   KEVIN WONG
CRED050   QA
CRED051   DAVID BEDDOES
CRED052   DAVID WATSON
CRED053   BARRY CLARK
CRED054   ROSS SPARROW
CRED055   JAMES ALLAN
CRED056   NEIL MEIKLE
CRED057   LEAD TECHNICAL SUPPORT
CRED058   LORRAINE ROY
CRED059   CHRISTINE CHALMERS
CRED060   ROCKSTAR NEW YORK
CRED061   EXECUTIVE PRODUCER
CRED062   SAM HOUSER
CRED063   PRODUCER
CRED064   DAN HOUSER
CRED065   VP OF DEVELOPMENT
CRED066   JAMIE KING
CRED067   CHIEF TECHNOLOGY OFFICER
CRED068   GARY J. FOREMAN
CRED069   ASSOCIATE PRODUCER
CRED070   JEREMY POPE
CRED071   MUSIC SUPERVISOR
CRED072   TERRY DONOVAN
CRED073   PRODUCTION TEAM
CRED074   TERRY DONOVAN
CRED075   JENNIFER KOLBE
CRED076   JENEFER GROSS
CRED077   LAURA PATERSON
CRED078   JEFF CASTANEDA
CRED079   JERONIMO BARRERA
CRED080   CARLY SLATER
CRED081   JUNG KWAK
CRED082   BRIAN WOOD
CRED083   RENAUD SEBANNE
CRED084   RICHARD KRUGER
CRED085   KENT PAUL'S 80 NOSTALGIA ZONE
CRED086   WRITTEN BY DAN HOUSER
CRED087   WWW.KENTPAUL.COM AND WWW.VICECITY.COM
CRED088   CREATED BY
CRED089   QA MANAGER
CRED090   CRAIG ARBUTHNOTT
CRED091   LEAD ANALYST
CRED092   ADAM DAVIDSON
CRED093   GAME ANALYST
CRED094   RICHARD HUIE
CRED095   ROCKSTAR TEST TEAM
CRED096   LANCE WILLIAMS
CRED097   JOE GREENE
CRED098   BRIAN PLANER
CRED099   LEE CUMMINGS
CRED100   STORY
CRED101   JAMES WORRALL
CRED102   DAN HOUSER
CRED103   ADAM TEDMAN
CRED104   PAUL YEATES
CRED105   JENEFER GROSS
CRED106   LAURA PATERSON
CRED107   CUT SCENES
CRED108   WRITTEN BY DAN HOUSER AND JAMES WORRALL
CRED109   AUDIO DIRECTED BY DAN HOUSER AND NAVID KHONSARI
CRED110   PRODUCED BY JAMIE KING
CRED111   CAST
CRED112   TOMMY VERCETTI - RAY LIOTTA
CRED113   KEN ROSENBERG - WILLIAN FICHTNER
CRED114   SONNY FORELLI - TOM SIZEMORE
CRED115   STEVE SCOTT - DENNIS HOPPER
CRED116   AVERY CARRINGTON - BURT REYNOLDS
CRED117   RICARDO DIAZ - LUIS GUZMAN
CRED118   LANCE VANCE - PHILIP MICHAEL THOMAS
CRED119   COLONEL JUAN CORTEZ - ROBERT DAVI
CRED120   UMBERTO ROBINA - DANNY TREJO
CRED121   PHIL CASSIDY - GARY BUSEY
CRED122   MITCH BAKER - LEE MAJORS
CRED123   MERCEDES CORTEZ - FAIRUZA BALK
CRED124   KENT PAUL - DANNY DYER
CRED125   JEZZ TORRENT - KEVIN MCKIDD
CRED126   TAXI CONTROLLER - DEBORAH HARRY
CRED127   CANDY SUXXX - JENNA JAMESON
CRED128   BJ SMITH - LAWRENCE TAYLOR
CRED129   AUNTIE POULET - YOUREE CLEOMILI HARRIS
CRED130   SUPPLIER - ARMANDO RIESCO
CRED131   COUGAR - BLAYNE PERRY
CRED132   HILARY - CHARLES TUCKER
CRED133   CONGRESSMAN ALEX SHRUB - CHRIS LUCAS
CRED134   OLD MAN KELLY - GEORGE DICENZO
CRED135   MOTION CAPTURE
CRED136   ANIMATED BY
CRED137   DIRECTED BY
CRED138   PRODUCED BY
CRED139   RECORDED AT PERSPECTIVE STUDIOS, BROOKLYN
CRED140   MOTION CAPTURE ACTORS
CRED141   PEDESTRIAN DIALOGUE
CRED142   WRITTEN BY
CRED143   DIRECTED BY DAN HOUSER, CRAIG CONNER, MARC FERNANDEZ, AND ALLAN WALKER
CRED144   PRODUCED BY RENAUD SEBANNE
CRED145   PEDESTRIANS
CRED146   ADAM DAVIDSON, ADAM WATKINS, ALEJANDRO K. BROWN, ALEX ANTHONY SIOUKAS, ALEX GARCIA,
CRED147   ALICE SALTZMAN, ALISON CIHRA, AMY SALIMA, AMY SALZMAN, ANDREA VIDELA, ANTHONY ATTI,
CRED148   ANTHONY RIVERA, BIJAN SHAMS, BLAYNE PERRY, BRETT BISOGNO, BREYE MATA, BRIAN PANEN,
CRED149   BROCK VODER, CAREY BERTINI, CHARISSE LAMBERT, CHRIS DIFAT, CHRIS REISENBERGER,
CRED150   CHRISTOPHER BRODAY, CHRISTOPHER CARRO, CYNTHIA GREENE, DAMARIES LOPEZ, DAN LEE,
CRED151   DAN SCHNEIDER, DAN TOYAMA, DAVID DEAN CHALTFIELD, JR., DAVID HARRISON, DAVID WILEY,
CRED152   DEBORAH COLLINS, DEBRANDA CHANEY-GILES, DEMETRA KOUKOULAS, DENISE ROSADO,
CRED153   DEVIN BENNETT, DEVIN WINTERBOTTOM, DORIS WOO, DOUGLAS HARRISON, DUNCAN COUTTS,
CRED154   DUPE AJAYI, EDWIN AVELLANEDA, ELIZABETH HOWELL, ELIZABETH SATTERWHITE, ERIC NAGLE,
CRED155   ESTEBAN KARPLUS, F. FONT, FUTABA HAYASHI, GENE HILGREEN, GERALD COSGROVE,
CRED156   GERARD LUNA, GILLIAN TELLING, GREGG CARLUCCI, GREGORY CLERVOIX, GREGORY SCHWEIZER,
CRED157   HADLEY TOMICKI, J. ROSSETT, JAMEEL VEGA, JASON JONES, JEFF ROSA, JENNIFER JEMISON,
CRED158   JEREMY TAGGERT, JESSICA RIDER, JOSEPH GREENE,JOSEPH HOWELL, KATE DUKICH,
CRED159   KEL O'NEILL, KEVIN HOPKINS, LADAWN JAMES, LANCE WILLIAMS, LAURA BUBBLES,
CRED160   LAURA PATTERSON, LEE CUMMINGS, LETICIA L. YOUNG, LINDSAY KENNEDY, LISA ORITZ,
CRED161   LORNA JORDAN, LUCIO AMADIO, MARCO FERNANDEZ, MARIKO TANAKA, MARLON MATTHEWS,
CRED162   MARY TELLING, MASAYOSHI MITSUYAMA, MATTHEW CHUNG, MAX ALLSTADT, MAX BOGDANOV,
CRED163   MELISSA ALVAREZ, MICHAEL MAY, MICHAEL ROTHSTEIN, MIGUEL VIDAL, MIKE FEDERLINE,
CRED164   NATALIE DESCALZO, N'GAI MEMBERS, NICOLAS MALLO, NOELLE SADLER, NORBERT MORIVAN,
CRED165   OSWALD GREENE, JR., PETER MCKAY, PETER APPEL, PRESTON SAVARESE, RAFAEL GONZALES,
CRED166   RANDY JOHNSON, REY CONCEPCION, RICHARD KROGER, ROB TIBBS, ROBERT JACKSON,
CRED167   ROBERT SCHULER, ROSS A. MCINTYRE, RUSSELL FOREMAN, RUTH NUNEZ, SALVADORE SUAZO,
CRED168   SAM WHITE, SANTOS GONZALES, SCOTT SMITH, SEYMOUR FRAILMAN, SPELMAN BRAUMAN,
CRED169   STEPHANIE TELLING, STEVE KNEZEVICH, STEVE ROBERT, SUMIKO YASUDA, SUSAN LEWIS,
CRED170   SYLVIA COLACIOS, TOMOKO MIYAZAKI, TRON, VERDEL HALE, YVES MONDESIR, ZENO LEINFELDER,
CRED171   DAVID BEDDOES, CHRISTINE CHALMERS, BARRY CLARK, NEIL CORBETT, KIM GURNEY, NEIL MEIKLE,
CRED172   CASSIE OLIVER, LORRAINE ROY, DAVID WATSON, KEVIN WONG, WILL MORTON
CRED175   ADAM DAVIDSON
CRED176   LANCE WILLIAMS
CRED177   NEIL MCCAFFREY
CRED178   LAURA PATERSON
CRED179   REY CONCEPCION
CRED180   CHARLES HEROLD
CRED181   ANDREW GREENWALD
CRED182   JAMES MIELKE
CRED183   PETER SUCIU
CRED184   ALEX ODULIO
CRED185   DON NKRUMAH
CRED186   KENDALL PITTMAN
CRED187   SAL SUAZO
CRED188   EREK MATEO
CRED189   CHRIS DIFATE
CRED190   LEILA MILTON
CRED191   DARREN ZOLTOWSKI
